推: 16,噓: 1,分數: 15,作者: Kakehiko (用localizer晾衣服),標題: [問卦] 先秦時代的姓氏名,時間: Sun Jul  3 07:42:23 2022
推: 2,噓: 1,分數: 1,作者: Su22 (裝配匠),標題: [新聞] 騰訊與字節跳動再裁員 上海穩就業措施遭,時間: Sat Jul  2 23:57:07 2022
推: 5,噓: 1,分數: 4,作者: sky0302 (free),標題: Re: [問卦] 戴資穎下圍棋 VS 黑嘉嘉打羽球,時間: Sun Jul  3 01:31:15 2022
推: 18,噓: 5,分數: 13,作者: onesweetday (onesweetday),標題: [問卦] 蔡健雅到底多會唱歌？,時間: Sun Jul  3 00:29:53 2022
推: 10,噓: 1,分數: 9,作者: eddie5689 (),標題: [問卦] 張惠妹是不是蓄勢待發了？,時間: Sat Jul  2 23:25:16 2022
推: 2,噓: 0,分數: 2,作者: hyperdunk (別鞭我),標題: [問卦] 選一首金曲獎歌曲去參加葛萊美？,時間: Sun Jul  3 09:56:44 2022
推: 25,噓: 4,分數: 21,作者: seand8088503 (あいうえお),標題: [問卦] 八卦板最推的入門紅酒是哪支？,時間: Sun Jul  3 11:47:38 2022
推: 14,噓: 0,分數: 14,作者: rockman1118 (玉骨冰心沐流塵),標題: Re: [問卦] 林宥嘉娶到丁文琪，是不是賺到,時間: Sun Jul  3 00:56:54 2022
推: 8,噓: 5,分數: 3,作者: ccyaztfe (1357924680),標題: [問卦] 對面六費挑戰者，七費爆爆，八費佛丁？,時間: Sun Jul  3 08:38:28 2022
推: 3,噓: 1,分數: 2,作者: oz5566 (阿萊克修斯),標題: Re: [問卦] 明年應該辦金曲抖音獎才對？,時間: Sun Jul  3 09:17:07 2022
推: 4,噓: 4,分數: 0,作者: JiaTai (J.T.),標題: [問卦] 哪一年才不是最糟的一年？,時間: Sun Jul  3 08:25:15 2022
推: 15,噓: 1,分數: 14,作者: Sylph (炁+盆滿缽滿),標題: [問卦] 台灣人有發現英文資訊的品質比中文高嗎？,時間: Sun Jul  3 11:52:24 2022
推: 5,噓: 4,分數: 1,作者: P00832129 (微妙),標題: Re: [新聞] 「94 要上國道」遍地開花！重機闖國道畫,時間: Sun Jul  3 09:25:04 2022
推: 47,噓: 19,分數: 28,作者: words2012 (づ′・ω・),"標題: [問卦] 崔健為什麼拿最佳男歌手,根本沒聽過",時間: Sun Jul  3 02:44:05 2022
推: 4,噓: 0,分數: 4,作者: chinaeatshit (我愛台灣！中國吃屎！！),標題: Re: [新聞] 27年沒請過假！公司送他原子筆、杯子 網,時間: Sun Jul  3 11:23:55 2022
